40120000
 c74 1aa5 1bfc 1b3f 1a2f 1b90 19e6 19ce 19e2 1a4d 1a00 1916 1a26 1a37 1b00 1944 
19c6 1b6b 1a52 19d2 1944 196b 196e 1aa2 18bd 19cb 1a50 19ae 193d 1a99 197b 1868 
196f 1a75 190d 1a0e 1a83 1959 189a 187f 1a43 1b8f 1afd 1967 1a61 1b7f 1a26 1a7a 
19c6 1ae7 1b10 19e0 1ad1 1acf 1aef 1a3a 1ac8 1a7f 1aa7 1a69 1a2c 1b6a 1b71 1a90 
 ad1 1870 1986 1874 19e6 19ab 1a8d 1a37 1990 1982 1a35 1afd 1a79 1993 196a 1904 
1a16 1a3f 1a88 1a85 19d8 1a2e 1ad0 19eb 1a0c 1adf 1a61 1974 1b83 19b4 1a50 1a64 
198d 1a1e 1a10 1b16 1b0d 1a73 1b27 1ac0 1a7b 1abc 1b85 1a4f 1b09 1b7a 1ab2 1a99 
1b67 1a9e 1c76 1b5f 1b3e 1b81 1caa 1b42 1ce3 1b43 1aed 1c03 1cd5 1b1a 1d05 1bcc 
 8d6 1600 1792 19bd 1764 187f 185d 1849 1914 1894 18a0 1908 181c 1870 1963 18ed 
189e 18a2 17b3 1954 1934 1a2c 1a5d 1a88 18b0 19a5 195d 1934 19a7 1a29 1a21 1a19 
1a17 1abf 1a14 1ab2 19da 1ad7 1a77 1a75 1a64 194a 1ada 1a61 19f7 19fc 19ac 1ac5 
1a58 1ad0 1a76 1a70 19c1 1993 1aa0 19c8 1ace 1973 1a4b 1989 19c7 1a92 1b83 18d5 
 b37  1f5 1b05 1b0e 1b4f 1b78 1ace 1b9b 1aaa 1afb 1b35 1b49 1baa 1be4 1ab2 1bd2 
1b12 1b8b 1be3 1b55 1c20 1bd6 1af2 1bae 1b1a 1cb5 1bfe 1b11 1adf 1b2b 1b42 1b18 
1b5e 1ab7 1a36 1c6a 1ab1 1c02 1add 1a64 1afe 1c3d 1c47 1c92 1c18 1c55 1c96 1b38 
1c0a 1c66 1c26 1d0b 1c6f 1b22 1bfe 1c67 1c5e 1cf4 1c65 1ca2 1dcf 1d3a 1c84 1c48 
 a96  eee 1bf9 1a61 18f0 194b 19b8 1a83 1a17 1adb 1b18 1ba7 1b48 1aaa 1b75 1b13 
1ae6 1acf 1bf8 1c52 1a9f 1a6a 1bca 1bc9 1b0c 1d6d 1c3a 1c34 1c4c 1c2c 1b4a 1c79 
1b52 1b56 1ce7 1bb0 1c1a 1c80 1b3c 1c7b 1bd7 1b07 1bcf 1cf8 1d1e 1dbc 1c06 1c33 
1c9b 1c1a 1bef 1d32 1c99 1c3e 1ca3 1d28 1cc4 1d37 1d70 1c8c 1bef 1c09 1d78 1b2d 
 eca 1216 1234 11cd 1256 1304 11e7 1281 11eb 11c8 11f2 128b 11ee 1351 12a0 1180 
118f 12f8 12fc 11cc 12d3 10f7 12a7 1297 11b7 12d8 121c 12ac 120b 11b7 1205 11b6 
1253 126a 127d 12e4 1285 1201 122b 119b 1370 117a 1306 135e 1342 12bc 125a 12c1 
1266 1336 1380 1366 13bd 12d1 12fb 12a7 1266 12df 12b2 12e5 1300 1330 12ca 1136 
 be3  eee 11aa 108d 1198 11ea 1118 113b 107d 11af 117a 1180 103d 123d 1202 128b 
